source,mode,cluster_size,iteration,cluster_id,max_residual,snr_db
baseline,serial_emulated,24,0,0,2.55295436242369,0.0
baseline,serial_emulated,24,0,1,3.9036903071833216,0.0
baseline,serial_emulated,24,0,2,3.3085069983603406,0.0
baseline,serial_emulated,24,0,3,4.908516072160684,0.0
baseline,serial_emulated,24,0,4,3.5583068080721136,0.0
baseline,serial_emulated,24,0,5,3.4667893163498062,0.0
baseline,serial_emulated,24,0,6,4.726163627035912,0.0
baseline,serial_emulated,24,0,7,4.144268395993943,0.0
baseline,serial_emulated,24,0,8,5.2809971617544935,0.0
baseline,serial_emulated,24,0,9,4.747910323911438,0.0
baseline,serial_emulated,24,0,10,4.432956359640149,0.0
baseline,serial_emulated,24,0,11,4.391765823034438,0.0
baseline,serial_emulated,24,0,12,5.195143103920704,0.0
baseline,serial_emulated,24,0,13,5.747506973412645,0.0
baseline,serial_emulated,24,0,14,5.23704952153753,0.0
baseline,serial_emulated,24,0,15,5.4100879666559765,0.0
baseline,serial_emulated,24,0,16,4.337367404442795,0.0
baseline,serial_emulated,24,0,17,5.512092644668852,0.0
baseline,serial_emulated,24,0,18,3.8438057405965758,0.0
baseline,serial_emulated,24,0,19,6.048170256893621,0.0
baseline,serial_emulated,24,0,20,5.682811077897046,0.0
baseline,serial_emulated,24,0,21,8.295391488466219,0.0
baseline,serial_emulated,24,0,22,5.986041034392833,0.0
baseline,serial_emulated,24,0,23,4.597689936596569,0.0
baseline,serial_emulated,24,1,0,2.55295436242369,0.0
baseline,serial_emulated,24,1,1,3.9036903071833216,0.0
baseline,serial_emulated,24,1,2,3.3085069983603406,0.0
baseline,serial_emulated,24,1,3,4.908516072160684,0.0
baseline,serial_emulated,24,1,4,3.5583068080721136,0.0
baseline,serial_emulated,24,1,5,3.4667893163498062,0.0
baseline,serial_emulated,24,1,6,4.726163627035912,0.0
baseline,serial_emulated,24,1,7,4.144268395993943,0.0
baseline,serial_emulated,24,1,8,5.2809971617544935,0.0
baseline,serial_emulated,24,1,9,4.747910323911438,0.0
baseline,serial_emulated,24,1,10,4.432956359640149,0.0
baseline,serial_emulated,24,1,11,4.391765823034438,0.0
baseline,serial_emulated,24,1,12,5.195143103920704,0.0
baseline,serial_emulated,24,1,13,5.747506973412645,0.0
baseline,serial_emulated,24,1,14,5.23704952153753,0.0
baseline,serial_emulated,24,1,15,5.4100879666559765,0.0
baseline,serial_emulated,24,1,16,4.337367404442795,0.0
baseline,serial_emulated,24,1,17,5.512092644668852,0.0
baseline,serial_emulated,24,1,18,3.8438057405965758,0.0
baseline,serial_emulated,24,1,19,6.048170256893621,0.0
baseline,serial_emulated,24,1,20,5.682811077897046,0.0
baseline,serial_emulated,24,1,21,8.295391488466219,0.0
baseline,serial_emulated,24,1,22,5.986041034392833,0.0
baseline,serial_emulated,24,1,23,4.597689936596569,0.0
baseline,serial_emulated,24,2,0,2.55295436242369,0.0
baseline,serial_emulated,24,2,1,3.9036903071833216,0.0
baseline,serial_emulated,24,2,2,3.3085069983603406,0.0
baseline,serial_emulated,24,2,3,4.908516072160684,0.0
baseline,serial_emulated,24,2,4,3.5583068080721136,0.0
baseline,serial_emulated,24,2,5,3.4667893163498062,0.0
baseline,serial_emulated,24,2,6,4.726163627035912,0.0
baseline,serial_emulated,24,2,7,4.144268395993943,0.0
baseline,serial_emulated,24,2,8,5.2809971617544935,0.0
baseline,serial_emulated,24,2,9,4.747910323911438,0.0
baseline,serial_emulated,24,2,10,4.432956359640149,0.0
baseline,serial_emulated,24,2,11,4.391765823034438,0.0
baseline,serial_emulated,24,2,12,5.195143103920704,0.0
baseline,serial_emulated,24,2,13,5.747506973412645,0.0
baseline,serial_emulated,24,2,14,5.23704952153753,0.0
baseline,serial_emulated,24,2,15,5.4100879666559765,0.0
baseline,serial_emulated,24,2,16,4.337367404442795,0.0
baseline,serial_emulated,24,2,17,5.512092644668852,0.0
baseline,serial_emulated,24,2,18,3.8438057405965758,0.0
baseline,serial_emulated,24,2,19,6.048170256893621,0.0
baseline,serial_emulated,24,2,20,5.682811077897046,0.0
baseline,serial_emulated,24,2,21,8.295391488466219,0.0
baseline,serial_emulated,24,2,22,5.986041034392833,0.0
baseline,serial_emulated,24,2,23,4.597689936596569,0.0
baseline,serial_emulated,24,3,0,2.55295436242369,0.0
baseline,serial_emulated,24,3,1,3.9036903071833216,0.0
baseline,serial_emulated,24,3,2,3.3085069983603406,0.0
baseline,serial_emulated,24,3,3,4.908516072160684,0.0
baseline,serial_emulated,24,3,4,3.5583068080721136,0.0
baseline,serial_emulated,24,3,5,3.4667893163498062,0.0
baseline,serial_emulated,24,3,6,4.726163627035912,0.0
baseline,serial_emulated,24,3,7,4.144268395993943,0.0
baseline,serial_emulated,24,3,8,5.2809971617544935,0.0
baseline,serial_emulated,24,3,9,4.747910323911438,0.0
baseline,serial_emulated,24,3,10,4.432956359640149,0.0
